,name,hymeniumType,capShape,whichGills,stipeCharacter,sporePrintColor,ecologicalType,howEdible
41,Amanita citrina,gills on hymenium,cap is flat,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
42,Amanita cokeri,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,or mycorrhizal,edibility: poisonous
43,Amanita crocea,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: edible
44,Amanita daucipes,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: unknown
45,Amanita elliptosperma,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
46,Amanita exitialis,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
47,Amanita farinosa,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
48,Amanita flavella,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: unknown
49,Amanita flavoconia,gills on hymenium,cap is flat,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: edible
50,Amanita franchetii,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: not recommended
51,Amanita frostiana,gills on hymenium,cap is convex,hymenium is free,stipe has a ring,spore print is white,ecology is mycorrhizal,"edibility: not recommended
   or poisonous"
52,Amanita fuliginea,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
53,Amanita fulva,gills on hymenium,cap is umbonate,hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: edible
54,Amanita gemmata,gills on hymenium,"cap is convex
   or flat","hymenium is adnate
   or adnexed",stipe has a ring,spore print is white,ecology is mycorrhizal,"edibility: poisonous
   or deadly"
55,Amanita hemibapha,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: choice
56,Amanita jacksonii,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: choice
   but not recommended"
57,Amanita liquii,gills on hymenium,cap is convex,hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: unknown
58,Amanita magnivelaris,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
59,Amanita magniverrucata,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: unknown
60,Amanita manginiana,gills on hymenium,cap is umbonate,hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
61,Amanita muscaria,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: psychoactive
62,Amanita muscaria var. guessowii,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: not recommended
   or edible"
63,Amanita nothofagi,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: unknown
64,Amanita ocreata,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
65,Amanita onusta,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,or mycorrhizal,edibility: poisonous
66,Amanita orientifulva,gills on hymenium,cap is umbonate,hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: unknown
67,Amanita ovoidea,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,"spore print is white
   to cream",ecology is mycorrhizal,"edibility: edible
   but not recommended"
68,Amanita pantherina,gills on hymenium,cap is flat,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: poisonous
   or psychoactive"
69,Amanita parcivolvata,gills on hymenium,"cap is ovate
   or flat",hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
70,Amanita parvipantherina,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: unknown
71,Amanita persicina,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
72,Amanita phalloides,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
73,Amanita porphyria,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: poisonous
74,Amanita ravenelii,gills on hymenium,cap is umbonate,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: inedible
75,Amanita regalis,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: poisonous
   or psychoactive"
76,Amanita rubrovolvata,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,"spore print is white
   to cream",ecology is mycorrhizal,edibility: unknown
77,Amanita smithiana,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
78,Amanita sphaerobulbosa,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
79,Amanita spreta,gills on hymenium,cap is umbonate,hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: inedible
80,Amanita subjunquillea,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
81,Amanita subvaginata,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: poisonous
82,Amanita umbrinolutea,gills on hymenium,cap is umbonate,hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: unknown
83,Amanita vaginata,gills on hymenium,cap is umbonate,hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
84,Amanita velosa,gills on hymenium,cap is convex,hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,"edibility: choice
   but not recommended"
85,Amanita verna,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
86,Amanita virosa,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
87,Amanita virosiformis,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
88,Amanita vittadinii,gills on hymenium,cap is convex,hymenium is free,stipe has a volva,spore print is white,ecology is saprotrophic,edibility: unknown
89,Amanita volvata,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: poisonous
90,Amanita zambiana,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
91,Armillaria,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is white,ecology is parasitic,edibility: edible
92,Armillaria gallica,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is white,"ecology is saprotrophic
   or parasitic",edibility: edible
93,Armillaria luteobubalina,gills on hymenium,"cap is convex
   or flat",hymenium is sinuate,stipe has a ring,spore print is white,ecology is parasitic,edibility: edible
94,Armillaria mellea,gills on hymenium,"cap is convex
   or flat","hymenium is adnate
   or subdecurrent",stipe has a ring,spore print is white,ecology is parasitic,"edibility: choice
   but not recommended"
95,Armillaria ostoyae,gills on hymenium,"cap is campanulate
   or convex",hymenium is decurrent,stipe has a ring,spore print is white,ecology is parasitic,edibility: not recommended
96,Artomyces pyxidatus,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is white,ecology is saprotrophic,edibility: edible
97,Aseroe coccinea,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe is bare,spore print is olive-brown,ecology is saprotrophic,edibility: unknown
98,Aureoboletus mirabilis,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: choice
99,Auriscalpium vulgare,teeth on hymenium,cap is offset,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
100,Baorangia bicolor,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive,ecology is mycorrhizal,edibility: edible
101,Blusher,gills on hymenium,cap is flat,hymenium is free,stipe has a ring,spore print is white,ecology is mycorrhizal,edibility: choice
102,Boletellus ananas,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is brown,ecology is mycorrhizal,"edibility: edible
   or inedible"
103,Boletus aereus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: choice
104,Boletus auripes,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: edible
105,Boletus barrowsii,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive,ecology is mycorrhizal,edibility: choice
106,Boletus curtisii,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: edible
107,Boletus edulis,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: choice
108,Boletus fibrillosus,pores on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: unknown
109,Boletus pinophilus,pores on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: choice
110,Boletus regineus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive,ecology is mycorrhizal,edibility: choice
111,Boletus reticulatus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive,ecology is mycorrhizal,edibility: choice
112,Boletus rex-veris,pores on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: choice
113,Boletus rubriceps,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: choice
114,Boletus rubroflammeus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: poisonous
115,Boletus sensibilis,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: poisonous
116,Boletus subcaerulescens,pores on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: unknown
117,Boletus subluridellus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,"edibility: unknown
   or poisonous"
118,Boletus subvelutipes,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,"edibility: unknown
   or poisonous"
119,Bovista nigrescens,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is brown,ecology is saprotrophic,edibility: edible
120,Caloboletus calopus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: inedible
121,Caloboletus radicans,pores on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: poisonous
122,Calocera cornea,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
123,Calocera viscosa,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe is bare,spore print is white,ecology is saprotrophic,"edibility: edible, but unpalatable"
124,Calocybe carnea,gills on hymenium,"cap is convex
   or flat","hymenium is adnexed
   or sinuate",stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
125,Calocybe gambosa,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: choice
126,Caloscypha,glebal hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,spore print is white,ecology is saprotrophic,edibility: inedible
127,Caloscypha fulgens,glebal hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,spore print is white,ecology is saprotrophic,edibility: inedible
128,Calvatia gigantea,glebal hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,spore print is brown,ecology is saprotrophic,"edibility: edible
   or inedible"
129,Candy cap,gills on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,"spore print is white
   to yellow",ecology is mycorrhizal,edibility: choice
130,Cantharellus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is mycorrhizal,"edibility: choice
   or edible"
131,Cantharellus appalachiensis,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is buff,ecology is mycorrhizal,edibility: choice
132,Cantharellus californicus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: choice
133,Cantharellus cascadensis,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: choice
134,Cantharellus cibarius,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is yellow
   to cream",ecology is mycorrhizal,edibility: choice
135,Cantharellus cinnabarinus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is white
   to pink",ecology is mycorrhizal,edibility: choice
136,Cantharellus formosus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is yellow
   to white",ecology is mycorrhizal,edibility: choice
137,Cantharellus friesii,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: choice
138,Cantharellus lateritius,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is cream
   to salmon",ecology is mycorrhizal,edibility: choice
139,Cantharellus minor,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: choice
140,Cantharellus persicinus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is white
   to pink",ecology is mycorrhizal,edibility: choice
141,Cantharellus subalbidus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: choice
142,Cantharellus subpruinosus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is buff,ecology is mycorrhizal,edibility: edible
143,Catathelasma evanescens,gills on hymenium,cap is convex,hymenium is decurrent,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: unknown
144,Catathelasma imperiale,gills on hymenium,"cap is convex
   or depressed",hymenium is decurrent,stipe has a ring,spore print is white,ecology is mycorrhizal,edibility: edible
145,Cerioporus squamosus,pores on hymenium,"cap is depressed
   or offset",hymenium is decurrent,stipe is bare,spore print is white,"ecology is saprotrophic
   or parasitic","edibility: edible
   or inedible"
146,Chlorophyllum molybdites,gills on hymenium,cap is flat,hymenium is free,stipe has a ring,spore print is green,ecology is saprotrophic,edibility: poisonous
147,Chlorophyllum rhacodes,gills on hymenium,"cap is umbonate
   or convex",hymenium is free,stipe has a ring,spore print is white,ecology is saprotrophic,"edibility: choice
   but not recommended"
148,Clathrus archeri,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is olive-brown,ecology is saprotrophic,edibility: inedible
149,Clathrus bicolumnatus,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is olive-brown,ecology is saprotrophic,edibility: unknown
150,Clitocybe dealbata,gills on hymenium,cap is depressed,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,"edibility: poisonous
   or deadly"
151,Clitocybe fragans,gills on hymenium,cap is flat,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
152,Clitocybe fragrans,gills on hymenium,cap is flat,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
153,Clitocybe nebularis,gills on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is cream,ecology is saprotrophic,edibility: not recommended
154,Clitocybe nuda,gills on hymenium,"cap is convex
   or umbonate",hymenium is emarginate,stipe is bare,spore print is pink,ecology is saprotrophic,edibility: choice
155,Clitocybe odora,gills on hymenium,cap is flat,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
156,Clitocybe rivulosa,gills on hymenium,cap is depressed,"hymenium is adnate
   or decurrent",stipe is bare,spore print is white,ecology is saprotrophic,"edibility: poisonous
   or deadly"
157,Clitopilus prunulus,gills on hymenium,cap is convex,hymenium is decurrent,stipe is bare,spore print is pink,ecology is saprotrophic,edibility: choice
158,Cloud ear fungus,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is white,ecology is saprotrophic,edibility: choice
159,Collybia cirrhata,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
160,Collybia cookei,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
161,Collybia tuberosa,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
162,Conocybe apala,gills on hymenium,cap is conical,"hymenium is adnexed
   or free",stipe is bare,"spore print is brown
   to reddish-brown",ecology is saprotrophic,edibility: poisonous
163,Conocybe rickenii,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is brown,ecology is saprotrophic,edibility: not recommended
164,Conocybe tenera,gills on hymenium,"cap is conical
   or convex",hymenium is adnate,stipe is bare,spore print is brown,ecology is saprotrophic,edibility: poisonous
165,Coprinellus disseminatus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is black,ecology is saprotrophic,edibility: edible
166,Coprinellus impatiens,gills on hymenium,"cap is convex
   or flat",hymenium is adnexed,stipe is bare,spore print is blackish-brown,ecology is saprotrophic,edibility: inedible
167,Coprinellus micaceus,gills on hymenium,"cap is campanulate
   or convex",hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: edible
168,Coprinellus niveus,gills on hymenium,"cap is campanulate
   or convex",hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: edible
169,Coprinopsis atramentaria,gills on hymenium,cap is ovate,hymenium is free,stipe is bare,spore print is black,ecology is saprotrophic,"edibility: edible
   or poisonous"
170,Coprinopsis cinerea,gills on hymenium,cap is conical,hymenium is free,stipe is bare,spore print is black,ecology is saprotrophic,edibility: edible
171,Coprinopsis lagopus,gills on hymenium,cap is ovate,hymenium is free,stipe is bare,spore print is black,ecology is saprotrophic,edibility: inedible
172,Coprinopsis picacea,gills on hymenium,cap is conical,hymenium is free,stipe is bare,spore print is black,ecology is saprotrophic,edibility: poisonous
173,Coprinopsis variegata,gills on hymenium,cap is conical,hymenium is free,stipe has a ring,spore print is black,ecology is saprotrophic,edibility: can cause allergic reactions
174,Coprinus comatus,gills on hymenium,cap is conical,hymenium is free,stipe has a ring,spore print is black,ecology is saprotrophic,edibility: choice
175,Cortinarius australiensis,gills on hymenium,cap is convex,hymenium is adnate,stipe has a cortina,spore print is brown,ecology is mycorrhizal,edibility: unknown
176,Cortinarius austrovenetus,gills on hymenium,cap is convex,hymenium is adnate,stipe has a cortina,spore print is brown,ecology is mycorrhizal,edibility: unknown
177,Cortinarius caperatus,gills on hymenium,"cap is convex
   or umbonate",hymenium is adnate,stipe has a ring,"spore print is ochre
   to brown",ecology is mycorrhizal,edibility: choice
178,Cortinarius collinitus,gills on hymenium,"cap is convex
   or flat",hymenium is adnexed,stipe has a cortina,spore print is reddish-brown,ecology is mycorrhizal,edibility: unknown
179,Cortinarius delibutus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is reddish-brown,ecology is mycorrhizal,edibility: inedible
180,Cortinarius flexipes,gills on hymenium,cap is umbonate,hymenium is adnate,stipe has a cortina,spore print is reddish-brown,ecology is mycorrhizal,edibility: unknown
181,Cortinarius gentilis,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a cortina,spore print is reddish-brown,ecology is mycorrhizal,edibility: deadly
182,Cortinarius infractus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is reddish-brown,ecology is mycorrhizal,edibility: inedible
183,Cortinarius mucosus,gills on hymenium,cap is conical,hymenium is adnexed,stipe has a cortina,spore print is ochre,ecology is mycorrhizal,edibility: inedible
184,Cortinarius orellanus,gills on hymenium,cap is flat,hymenium is adnate,stipe has a ring,spore print is reddish-brown,ecology is mycorrhizal,edibility: deadly
185,Cortinarius ponderosus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: edible
